Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8998025666337611,0.7675438596491229,0.5384615384615384,0.6329113924050633,0.9167204811649257
Random Forest,0.9545903257650543,0.8584615384615385,0.8584615384615385,0.8584615384615385,0.9845529778863111
